Year,Browns (BPTH_,Starfish (SFRH),Starfish Upper (SFRHU),Cannonball (CRBH),Ozette River (OZRH),Sokol (SOKH),Point of Arches (POAH),Norwegian (NORH),Taylor (TAYH),Goodman (GCRH),Destruction (DSTH),SAJH AmCamp,SAJH EngCamp,LEWI,
2005,6/27/05,6/27/05,,6/24/05,6/24/05,6/28/05,6/28/05,6/28/05,6/29/05,6/28/05,,,,,
2006,3/31/06,3/31/06,,4/3/06,4/3/06,4/28/06,4/16/06,4/17/06,4/18/06,4/19/06,,,,,
2007,6/6/07,5/30/07,,5/31/07,5/31/07,5/16/07,5/18/07,6/15/07,6/4/07,5/17/07,,,,,
2008,6/4/08,6/4/08,,5/7/2008 6/8/2008,6/8/08,5/6/2008 5/24/2008,6/18/08,5/22/08,6/3/08,5/23/08,,6/16/08,6/16/08,7/3/08,
2009,4/30/09,4/30/09,,5/28/09,5/28/09,4/29/09,4/28/09,5/8/09,5/11/09,5/9/09,,7/8/09,7/7/09,7/22/09,
2010,5/15/10,5/15/10,,5/29/10,5/29/10,5/14/10,6/12/10,5/28/2010/ 6/26/2010,5/17/10,6/30/10,,8/9/10,8/10/10,7/12/10,
2011,5/5/11,6/16/11,,5/18/11,5/18/11,6/3/11,6/15/11,6/4/11,4/19/11,8/14/11,,6/29/11,6/30/11,7/15/11,
2012,5/21/12,6/4/12,,5/8/12,5/8/12,5/22/12,6/7/12,6/20/12,6/6/12,7/20/12,,5/22/12,5/23/12,8/17/12,
2013,5/28/13,6/8/13,,5/29/13,5/29/13,5/30/13,6/27/13,5/24/13,6/25/13,6/13/13,,7/9/13,7/10/13,7/24/13,
2014,7/13/14,6/13/14,,6/17/14,6/17/14,6/14/14,6/16/14,6/27/14,6/15/14,7/3/14,8/14/14,5/29/14,5/30/14,9/7/14,
2015,5/19/15,6/16/15,,6/11/15,6/11/15,5/20/15,6/19/15,7/17/15,6/17/15,7/7/15,,6/3/15,6/4/15,8/2/15,
2016,,6/5/16,,5/26/16,5/26/16,5/11/16,6/8/16,7/22/16,6/7/16,5/25/16,7/20/16,5/9/16,5/10/16,7/20/16,
2017,6/24/17,6/24/17,,7/12/17,7/12/17,6/25/17,6/27/17,7/11/17,9/8/17,7/26/17,7/27/17,5/25/17,5/24/17,8/8/17,
2018,6/1/18,6/15/18,,5/31/18,5/31/18,5/20/18,6/18/18,7/15/18,6/16/18,8/29/18,9/13/18,5/17/18,5/18/18,7/16/18,
2019,5/9/19,5/4/19,,7/5/19,7/5/19,6/5/19,6/7/19,7/2/19,6/6/19,7/16/19,8/5/19,5/20/19,5/21/19,8/1/19,
2020,8/21/20,6/6/20,,5/24/20,5/24/20,5/25/20,6/26/20,7/6/20,6/7/20,8/23/20,,5/9/20,5/10/20,,
2021,5/12/21,6/9/21,6/9/21,6/11/21,6/11/21,6/25/21,6/27/21,7/22/21,6/26/21,7/25/21,8/25/21,5/28/21,5/29/21,8/20/21,
2022,6/2/22,6/15/22,6/15/22,6/1/22,6/1/22,6/16/22,6/18/22,,6/17/22,7/31/22,7/16/22,5/19/22,5/18/22,6/28/22,
2023,9/1/23,6/5/23,6/5/23,5/22/23,5/22/23,6/8/23,6/6/23,7/17/23,6/7/23,7/2/23,7/21/23,5/9/23,5/10/23,7/6/23,
